Rank	Hole Cards	Overall	WinHi %	TieHi %	WinLo %	TieLo %	Occur %	Cumul %
1	Ax Ay 3x 2y	30.7361	18.9909	0.3723	28.0416	14.9648	0.0044	0.0044
2	Ax Ay 4x 2y	29.0354	19.1242	0.5388	25.2638	13.4865	0.0044	0.0088
3	Ax A- 3x 2-	27.7786	14.664	0.3909	28.0942	15.0578	0.0088	0.0177
4	Ax A- 3- 2x	27.764	14.6603	0.3902	28.0779	15.0054	0.0088	0.0266
5	Ax Ay 5x 2y	27.3725	19.2939	0.6131	22.5001	11.7472	0.0044	0.031
6	Ax Ay 4x 3y	27.178	19.5363	0.8044	21.8008	11.7352	0.0044	0.0354
7	Ax Ay 2x 2y	26.9989	20.6891	0.0711	22.1203	7.3857	0.0022	0.0376
8	Ax A- 3x 2x	26.9676	13.4267	0.3802	27.985	15.1466	0.0044	0.0421
9	Ax Ky 3x 2y	26.5943	13.1369	1.8664	24.2813	19.7652	0.0044	0.0465
10	Ax Ky 3y 2x	26.5464	13.0938	1.8951	24.2287	19.6957	0.0044	0.0509
11	Ax 4y 3y 2x	26.3457	9.5881	1.4761	28.6738	22.6544	0.0044	0.0554
12	Ax 4y 3x 2y	26.3454	9.5076	1.4777	28.7185	22.7109	0.0044	0.0598
13	Ax 4x 3y 2y	26.311	9.5272	1.5069	28.599	22.7	0.0044	0.0642
14	Ax A- 4x 2-	26.1497	14.8859	0.5377	25.3322	13.4217	0.0088	0.0731
15	Ax A- 4- 2x	26.0974	14.8042	0.5404	25.3155	13.375	0.0088	0.082
16	Ax Qy 3x 2y	25.9746	12.1314	1.8326	24.3513	19.687	0.0044	0.0864
17	Ax 4x 3- 2-	25.9594	8.9409	1.5249	28.7239	22.6704	0.0088	0.0953
18	Ax Qy 3y 2x	25.9329	12.0747	1.8015	24.3308	19.7226	0.0044	0.0997
19	Ax 4- 3x 2-	25.8747	8.9224	1.4904	28.6044	22.6311	0.0088	0.1086
20	Ax 4- 3- 2x	25.8348	8.8304	1.4936	28.5841	22.6828	0.0088	0.1174
21	Ax Ay 5x 3y	25.6093	19.7097	0.9326	19.2447	10.1574	0.0044	0.1218
22	Ax Ay 6x 2y	25.4487	18.9935	0.3641	19.7698	10.3422	0.0044	0.1263
23	Ax A- 4x 2x	25.379	13.7036	0.5295	25.2698	13.384	0.0044	0.1307
24	Ax Ay Tx 2y	25.3459	19.8954	0.7816	18.2199	9.6709	0.0044	0.1352
25	Ax Ay Kx 2y	25.3449	19.8114	0.831	18.1728	9.7044	0.0044	0.1396
